1,36,36.0
2,38,19.0
5,51,10.2
10,62,6.2
20,87,4.35
50,165,3.3
100,293,2.93
200,543,2.715
500,1293,2.586
1000,2543,2.543
2000,5043,2.5215
5000,12543,2.5086
